姓名,简写,代表团代码,金,银,铜,合计,项目,小项,奖牌
LEE Woosuk,LEE W,KOR,1,0,0,1,BKB,Men,ME_GOLD
MOON Jeonghyeon,MOON J,KOR,1,0,0,1,BKB,Men,ME_GOLD
JANG Jaeseok,JANG J,KOR,1,0,0,1,BKB,Men,ME_GOLD
CHOI Junyong,CHOI J,KOR,1,0,0,1,BKB,Men,ME_GOLD
LEE Junsuk,LEE J,KOR,1,0,0,1,TEQ,Men's Singles,ME_GOLD
SEO Changwan,SEO C,KOR,1,0,0,1,MPN,Men's Team,ME_GOLD
SHAABAN Abdullah,SHAABAN A,KUW,1,0,0,1,KTE,Men's Kumite -60kg - Final,ME_GOLD
KUONG Chi Hin,KUONG CH,MAC,1,0,0,1,WSU,Men's Changquan - Final,ME_GOLD
ROBERT Adeola Fay,ROBERT AF,MAS,1,0,0,1,KTE,Women's Kumite -55kg - Final,ME_GOLD
KHIN HNIN Wai,KHIN HNIN W,MYA,1,0,0,1,TEQ,Women's Singles,ME_GOLD
TEO Hui Hoon,TEO HH,SGP,1,0,0,1,MMA,Women's Traditional -60kg - Final,ME_GOLD
PHATTARABOONSORN Kanjutha,PHATTARABOONSORN K,THA,1,0,0,1,MMA,Women's Modern -54kg - Final,ME_GOLD
THAOSIRI Sorrasak,THAOSIRI S,THA,1,0,0,1,TEQ,Men's Doubles,ME_GOLD
CHANLIANG Jirati,CHANLIANG J,THA,1,0,0,1,TEQ,Men's Doubles,ME_GOLD
DEJAROEN Phakpong,DEJAROEN P,THA,1,0,0,1,TEQ,Mixed Doubles,ME_GOLD
KUNTATONG Jutatip,KUNTATONG J,THA,1,0,0,1,TEQ,Women's Doubles,ME_GOLD
UMAROV Mirzobek,UMAROV M,TJK,1,0,0,1,MMA,Men's Modern -60kg - Final,ME_GOLD
RAJABOV Otabek,RAJABOV O,TJK,1,0,0,1,MMA,Men's Traditional -65kg - Final,ME_GOLD
RASHIDOV Abdul Vakhkhob,RASHIDOV AV,UZB,1,0,0,1,KTE,Men's Kumite -67kg - Final,ME_GOLD
NGUYEN Ngoc Tram,NGUYEN NT,VIE,1,0,0,1,KTE,Women's Team Kata - Final,ME_GOLD
HOANG Thi Thu Uyen,HOANG TTU,VIE,1,0,0,1,KTE,Women's Team Kata - Final,ME_GOLD
HASHIMI Fariba,HASHIMI F,AFG,0,1,0,1,CRD,Women's Road Race,ME_SILVER
NABIEV Mukhammad,NABIEV M,BRN,0,1,0,1,MMA,Men's Traditional -77kg - Final,ME_SILVER
POGOSIAN Diana,POGOSIAN D,BRN,0,1,0,1,MMA,Women's Modern -54kg - Final,ME_SILVER
KE Qinqin,KE Q,CHN,0,1,0,1,GAR,Women's All-Around,ME_SILVER
LUO Shuai,LUO S,CHN,0,1,0,1,MPN,Men's Team,ME_SILVER
MA Yuang,MA Y,CHN,0,1,0,1,MPN,Men's Team,ME_SILVER
ZHANG Hao,ZHANG H,CHN,0,1,0,1,CRD,Women's Individual Time Trial,ME_SILVER
WANG Zicheng,WANG Z,CHN,0,1,0,1,SWM,Men's 50m Backstroke,ME_SILVER
WANG Xueer,WANG X,CHN,0,1,0,1,SWM,Women's 50m Backstroke,ME_SILVER
CHANG Mohan,CHANG M,CHN,0,1,0,1,SWM,Women's 200m Butterfly,ME_SILVER
SUN Mingxia,SUN M,CHN,0,1,0,1,SWM,Women's 200m Backstroke,ME_SILVER
HO Ian Yentou,HO I,HKG,0,1,0,1,SWM,Men's 50m Freestyle,ME_SILVER
KAN Cheuk Tung Natalie,KAN C,HKG,0,1,0,1,SWM,Women's 4 x 100m Freestyle Relay,ME_SILVER
LI Sum Yiu,LI S,HKG,0,1,0,1,SWM,Women's 4 x 100m Freestyle Relay,ME_SILVER
MA Gilaine,MA G,HKG,0,1,0,1,SWM,Women's 4 x 100m Freestyle Relay,ME_SILVER
WANG Xintong,WANG X,HKG,0,1,0,1,SWM,Women's 4 x 100m Freestyle Relay,ME_SILVER
CHOI Chun Yin Ryan,CHOI CYR,HKG,0,1,0,1,FEN,Men's Foil Individual,ME_SILVER
LAU Chi Lung,LAU CL,HKG,0,1,0,1,WSU,Men's Nanquan & Nangun - Final,ME_SILVER
LAU Mo Sheung Grace,LAU MSG,HKG,0,1,0,1,KTE,Women's Individual Kata - Final,ME_SILVER
SUMAYA,SUMAYA,INA,0,1,0,1,TEQ,Women's Singles,ME_SILVER
MASKAR Sonam Uttam,MASKAR SU,IND,0,1,0,1,SHO,10m Air Rifle Women Team,ME_SILVER
MANE Parth Rakesh,MANE PR,IND,0,1,0,1,SHO,10m Air Rifle Men Team,ME_SILVER
KOCHALUMKAL VINOD Vidarsa,KOCHALUMKAL VINOD V,IND,0,1,0,1,SHO,10m Air Rifle Women Team,ME_SILVER
ASIABARI Ali Asghar,ASIABARI AA,IRI,0,1,0,1,KTE,Men's Kumite -84kg - Final,ME_SILVER
SAEIDABADI Fatemehzahra,SAEIDABADI F,IRI,0,1,0,1,KTE,Women's Kumite -55kg - Final,ME_SILVER
SADEGHI DASTAK Fatemeh,SADEGHI DASTAK F,IRI,0,1,0,1,KTE,Women's Team Kata - Final,ME_SILVER
HOSSEINI Zeynabalsadat,HOSSEINI Z,IRI,0,1,0,1,KTE,Women's Team Kata - Final,ME_SILVER
AMINI SOUMEH KABODIN Sepideh,AMINI SOUMEH KABODIN S,IRI,0,1,0,1,KTE,Women's Team Kata - Final,ME_SILVER
ALDROUS Joud,ALDROUS J,JOR,0,1,0,1,KTE,Women's Kumite -68kg - Final,ME_SILVER
KITAMADO Ayane,KITAMADO A,JPN,0,1,0,1,VVO,Women - Finals,ME_SILVER
HIROTA Ai,HIROTA A,JPN,0,1,0,1,VVO,Women - Finals,ME_SILVER
SHIGIHARA Hinata,SHIGIHARA H,JPN,0,1,0,1,VVO,Women - Finals,ME_SILVER
