date,code,name,close
2025-04-23,BK0547,黄金,12743.900000
2025-04-23,BK0475,银行金融,3812.660000
2025-04-23,BK1216,生物医疗,3870.850000
2025-04-23,BK0438,消费,27731.460000
2025-04-23,BK0578,稀土永磁,2210.150000
2025-04-23,BK1106,创新药,1099.120000
2025-04-23,BK0710,量子计算,2272.820000
2025-04-23,BK0968,固态电池,1540.970000
2025-04-23,BK1166,低空经济,1329.670000
2025-04-23,BK0668,医疗器械,3436.860000
2025-04-24,BK1134,AI 算力,1432.600000
2025-04-24,BK1128,CPO,2234.530000
2025-04-24,BK0917,半导体,1523.870000
2025-04-24,BK1137,存储,1246.950000
2025-04-24,BK0922,数据中心,1579.430000
2025-04-24,BK0579,云计算,2797.570000
2025-04-24,BK0963,商业航天,1492.650000
2025-04-24,BK0921,卫星,1269.000000
2025-04-24,BK1090,机器人,1559.490000
2025-04-24,BK0802,自动驾驶,1623.580000
2025-04-24,BK0577,核电,2048.420000
2025-04-24,BK0490,军工,58619.390000
2025-04-24,BK0493,新能源,13640.060000
2025-04-24,BK0588,光伏,2909.370000
2025-04-24,BK0574,锂电池,2735.320000
2025-04-24,BK0464,石油,5241.970000
2025-04-24,BK0843,天然气,1281.540000
2025-04-24,BK0478,铜/有色,16234.400000
2025-04-24,BK0547,黄金,12605.220000
2025-04-24,BK0475,银行金融,3856.840000
2025-04-24,BK1216,生物医疗,3878.120000
2025-04-24,BK0438,消费,27882.840000
2025-04-24,BK0578,稀土永磁,2172.620000
2025-04-24,BK1106,创新药,1106.140000
2025-04-24,BK0710,量子计算,2215.890000
2025-04-24,BK0968,固态电池,1523.410000
2025-04-24,BK1166,低空经济,1312.290000
2025-04-24,BK0668,医疗器械,3410.250000
2025-04-25,BK1134,AI 算力,1443.230000
2025-04-25,BK1128,CPO,2273.700000
2025-04-25,BK0917,半导体,1525.760000
2025-04-25,BK1137,存储,1251.220000
2025-04-25,BK0922,数据中心,1589.770000
2025-04-25,BK0579,云计算,2819.130000
2025-04-25,BK0963,商业航天,1493.390000
2025-04-25,BK0921,卫星,1265.160000
2025-04-25,BK1090,机器人,1565.770000
2025-04-25,BK0802,自动驾驶,1631.540000
2025-04-25,BK0577,核电,2057.030000
2025-04-25,BK0490,军工,58713.240000
2025-04-25,BK0493,新能源,13781.200000
2025-04-25,BK0588,光伏,2928.570000
2025-04-25,BK0574,锂电池,2741.320000
2025-04-25,BK0464,石油,5229.440000
2025-04-25,BK0843,天然气,1287.770000
2025-04-25,BK0478,铜/有色,16353.690000
2025-04-25,BK0547,黄金,12600.650000
2025-04-25,BK0475,银行金融,3868.760000
2025-04-25,BK1216,生物医疗,3846.400000
2025-04-25,BK0438,消费,27587.190000
2025-04-25,BK0578,稀土永磁,2180.860000
2025-04-25,BK1106,创新药,1092.020000
2025-04-25,BK0710,量子计算,2225.260000
2025-04-25,BK0968,固态电池,1525.640000
2025-04-25,BK1166,低空经济,1311.220000
2025-04-25,BK0668,医疗器械,3405.960000
2025-04-28,BK1134,AI 算力,1437.360000
2025-04-28,BK1128,CPO,2250.140000
2025-04-28,BK0917,半导体,1509.860000
2025-04-28,BK1137,存储,1235.250000
2025-04-28,BK0922,数据中心,1581.080000
2025-04-28,BK0579,云计算,2799.160000
2025-04-28,BK0963,商业航天,1470.600000
2025-04-28,BK0921,卫星,1241.160000
2025-04-28,BK1090,机器人,1540.990000
2025-04-28,BK0802,自动驾驶,1609.820000
2025-04-28,BK0577,核电,2038.250000
2025-04-28,BK0490,军工,57853.610000
2025-04-28,BK0493,新能源,13683.730000
2025-04-28,BK0588,光伏,2898.660000
2025-04-28,BK0574,锂电池,2703.190000
2025-04-28,BK0464,石油,5183.840000
2025-04-28,BK0843,天然气,1272.840000
2025-04-28,BK0478,铜/有色,16213.990000
2025-04-28,BK0547,黄金,12500.520000
2025-04-28,BK0475,银行金融,3906.850000
2025-04-28,BK1216,生物医疗,3791.570000
2025-04-28,BK0438,消费,26726.640000
2025-04-28,BK0578,稀土永磁,2172.660000
2025-04-28,BK1106,创新药,1084.000000
2025-04-28,BK0710,量子计算,2191.210000
2025-04-28,BK0968,固态电池,1509.170000
2025-04-28,BK1166,低空经济,1289.270000
2025-04-28,BK0668,医疗器械,3354.840000
2025-04-29,BK1134,AI 算力,1453.660000
2025-04-29,BK1128,CPO,2267.760000
2025-04-29,BK0917,半导体,1524.220000
2025-04-29,BK1137,存储,1249.290000
2025-04-29,BK0922,数据中心,1593.080000
2025-04-29,BK0579,云计算,2821.090000
2025-04-29,BK0963,商业航天,1484.780000
2025-04-29,BK0921,卫星,1251.880000
2025-04-29,BK1090,机器人,1564.080000
2025-04-29,BK0802,自动驾驶,1625.020000
2025-04-29,BK0577,核电,2029.060000
2025-04-29,BK0490,军工,58302.760000
2025-04-29,BK0493,新能源,13648.330000
2025-04-29,BK0588,光伏,2901.020000
2025-04-29,BK0574,锂电池,2728.760000
2025-04-29,BK0464,石油,5220.840000
2025-04-29,BK0843,天然气,1270.840000
2025-04-29,BK0478,铜/有色,16318.120000
2025-04-29,BK0547,黄金,12540.410000
2025-04-29,BK0475,银行金融,3886.460000
2025-04-29,BK1216,生物医疗,3818.100000
2025-04-29,BK0438,消费,27015.400000
2025-04-29,BK0578,稀土永磁,2179.030000
2025-04-29,BK1106,创新药,1088.390000
2025-04-29,BK0710,量子计算,2195.500000
2025-04-29,BK0968,固态电池,1521.950000
2025-04-29,BK1166,低空经济,1299.980000
2025-04-29,BK0668,医疗器械,3393.640000
2025-04-30,BK1134,AI 算力,1489.990000
2025-04-30,BK1128,CPO,2302.090000
2025-04-30,BK0917,半导体,1547.030000
2025-04-30,BK1137,存储,1272.160000
2025-04-30,BK0922,数据中心,1621.510000
2025-04-30,BK0579,云计算,2887.250000
2025-04-30,BK0963,商业航天,1517.440000
2025-04-30,BK0921,卫星,1275.900000
2025-04-30,BK1090,机器人,1604.460000
2025-04-30,BK0802,自动驾驶,1664.340000
2025-04-30,BK0577,核电,2029.470000
2025-04-30,BK0490,军工,59182.420000
2025-04-30,BK0493,新能源,13715.350000
2025-04-30,BK0588,光伏,2920.050000
2025-04-30,BK0574,锂电池,2755.150000
2025-04-30,BK0464,石油,5263.680000
2025-04-30,BK0843,天然气,1270.650000
2025-04-30,BK0478,铜/有色,16306.450000
2025-04-30,BK0547,黄金,12443.610000
2025-04-30,BK0475,银行金融,3818.560000
2025-04-30,BK1216,生物医疗,3849.870000
2025-04-30,BK0438,消费,26860.800000
2025-04-30,BK0578,稀土永磁,2194.490000
2025-04-30,BK1106,创新药,1094.180000
2025-04-30,BK0710,量子计算,2227.170000
2025-04-30,BK0968,固态电池,1545.650000
2025-04-30,BK1166,低空经济,1321.470000
2025-04-30,BK0668,医疗器械,3444.790000
2025-05-06,BK1134,AI 算力,1547.930000
2025-05-06,BK1128,CPO,2405.690000
2025-05-06,BK0917,半导体,1596.760000
2025-05-06,BK1137,存储,1317.750000
2025-05-06,BK0922,数据中心,1684.320000
2025-05-06,BK0579,云计算,2992.810000
2025-05-06,BK0963,商业航天,1567.280000
2025-05-06,BK0921,卫星,1325.740000
2025-05-06,BK1090,机器人,1663.060000
2025-05-06,BK0802,自动驾驶,1718.900000
2025-05-06,BK0577,核电,2108.090000
2025-05-06,BK0490,军工,61244.540000
2025-05-06,BK0493,新能源,14116.700000
2025-05-06,BK0588,光伏,3013.320000
2025-05-06,BK0574,锂电池,2834.780000
2025-05-06,BK0464,石油,5321.030000
2025-05-06,BK0843,天然气,1299.060000
2025-05-06,BK0478,铜/有色,16803.560000
2025-05-06,BK0547,黄金,12795.670000
2025-05-06,BK0475,银行金融,3804.030000
2025-05-06,BK1216,生物医疗,3919.800000
2025-05-06,BK0438,消费,27330.610000
2025-05-06,BK0578,稀土永磁,2311.060000
2025-05-06,BK1106,创新药,1109.970000
2025-05-06,BK0710,量子计算,2312.380000
2025-05-06,BK0968,固态电池,1589.850000
2025-05-06,BK1166,低空经济,1362.360000
2025-05-06,BK0668,医疗器械,3530.720000
2025-05-07,BK1134,AI 算力,1541.780000
2025-05-07,BK1128,CPO,2400.570000
2025-05-07,BK0917,半导体,1601.740000
2025-05-07,BK1137,存储,1315.480000
2025-05-07,BK0922,数据中心,1685.670000
2025-05-07,BK0579,云计算,2990.190000
2025-05-07,BK0963,商业航天,1606.060000
2025-05-07,BK0921,卫星,1350.590000
2025-05-07,BK1090,机器人,1672.500000
2025-05-07,BK0802,自动驾驶,1729.350000
2025-05-07,BK0577,核电,2126.020000
2025-05-07,BK0490,军工,62643.090000
2025-05-07,BK0493,新能源,14224.760000
2025-05-07,BK0588,光伏,3029.810000
2025-05-07,BK0574,锂电池,2849.720000
2025-05-07,BK0464,石油,5381.710000
2025-05-07,BK0843,天然气,1314.400000
2025-05-07,BK0478,铜/有色,16898.310000
2025-05-07,BK0547,黄金,12853.070000
2025-05-07,BK0475,银行金融,3855.730000
2025-05-07,BK1216,生物医疗,3932.310000
2025-05-07,BK0438,消费,27765.420000
2025-05-07,BK0578,稀土永磁,2309.360000
2025-05-07,BK1106,创新药,1108.100000
2025-05-07,BK0710,量子计算,2328.940000
2025-05-07,BK0968,固态电池,1595.460000
2025-05-07,BK1166,低空经济,1381.770000
2025-05-07,BK0668,医疗器械,3555.100000
2025-05-08,BK1134,AI 算力,1556.200000
2025-05-08,BK1128,CPO,2477.610000
2025-05-08,BK0917,半导体,1617.260000
2025-05-08,BK1137,存储,1327.280000
2025-05-08,BK0922,数据中心,1706.110000
2025-05-08,BK0579,云计算,3023.760000
2025-05-08,BK0963,商业航天,1646.980000
2025-05-08,BK0921,卫星,1393.850000
2025-05-08,BK1090,机器人,1698.730000
2025-05-08,BK0802,自动驾驶,1754.650000
2025-05-08,BK0577,核电,2149.620000
2025-05-08,BK0490,军工,64040.990000
2025-05-08,BK0493,新能源,14388.410000
2025-05-08,BK0588,光伏,3069.510000
2025-05-08,BK0574,锂电池,2882.810000
2025-05-08,BK0464,石油,5385.850000
2025-05-08,BK0843,天然气,1323.620000
2025-05-08,BK0478,铜/有色,16996.470000
2025-05-08,BK0547,黄金,12792.650000
2025-05-08,BK0475,银行金融,3901.780000
2025-05-08,BK1216,生物医疗,3954.170000
2025-05-08,BK0438,消费,27759.560000
2025-05-08,BK0578,稀土永磁,2335.380000
2025-05-08,BK1106,创新药,1115.920000
2025-05-08,BK0710,量子计算,2368.100000
